qv,nu,RT,RTerr,qvcenter
0.4,0.016542228,0.004030000000000001,0.0005800000000000002,0.38
0.4,0.021959312,0.009655,0.0004850000000000002,0.38
0.4,0.027010184,0.0076549999999999995,0.0004949999999999998,0.38
0.4,0.032080080000000004,0.009205,0.0004349999999999996,0.38
0.4,0.036874128,0.010454999999999999,0.0005049999999999994,0.38
0.4,0.041872684,0.012039999999999999,0.0005300000000000001,0.38
0.4,0.046581124,0.013615,0.0008549999999999999,0.38
0.4,0.05164150800000001,0.0154,0.0009300000000000003,0.38
0.4,0.05691115600000001,0.017215,0.0008250000000000011,0.38
0.4,0.061638620000000005,0.018365,0.0008450000000000003,0.38
0.4,0.066737052,0.019205,0.0009450000000000014,0.38
0.4,0.072116088,0.01991,0.0008599999999999997,0.38
0.4,0.07694818400000002,0.022045,0.000895,0.38
0.4,0.08152821200000002,0.023265,0.000895,0.38
0.4,0.08671225199999999,0.02369,0.0008699999999999992,0.38
0.4,0.092319576,0.024075,0.0007950000000000006,0.38
0.4,0.097227768,0.024115,0.000895,0.38
0.4,0.10240705200000001,0.024445,0.0009449999999999997,0.38
0.4,0.10703464000000001,0.024364999999999998,0.0006550000000000011,0.38
0.4,0.11198088,0.023395,0.0007550000000000005,0.38
0.4,0.116979436,0.022885,0.0006449999999999997,0.38
0.4,0.122220548,0.0216,0.0007200000000000002,0.38
0.4,0.126862404,0.021159999999999998,0.0006300000000000004,0.38
0.4,0.13257911599999997,0.02044,0.000619999999999999,0.38
0.4,0.13725902,0.018855,0.0010949999999999988,0.38
0.4,0.142195748,0.018095,0.0009949999999999994,0.38
0.4,0.14721808399999997,0.01694,0.0007699999999999999,0.38
0.4,0.15238785600000002,0.01569,0.0006400000000000008,0.38
0.4,0.157196172,0.014515,0.0006150000000000001,0.38
0.4,0.16147657199999998,0.014159999999999999,0.0005300000000000001,0.38
0.4,0.16714096799999997,0.01295,0.0007299999999999997,0.38
0.4,0.172291716,0.012244999999999999,0.0006150000000000001,0.38
0.4,0.17705722799999998,0.01216,0.0005600000000000006,0.38
0.4,0.18206529600000002,0.01151,0.0007200000000000002,0.38
0.4,0.186987756,0.01106,0.0006399999999999999,0.38
0.4,0.193037388,0.01112,0.0002999999999999999,0.38
0.4,0.197294008,0.01142,0.0005799999999999998,0.38
0.4,0.20244475599999998,0.010685,0.0005850000000000005,0.38
0.4,0.20777147599999998,0.010964999999999999,0.0006050000000000005,0.38
0.4,0.212793812,0.011904999999999999,0.0005349999999999999,0.38
0.4,0.21805394800000003,0.011915,0.0005249999999999994,0.38
0.4,0.222648244,0.01273,0.0009700000000000004,0.38
0.4,0.227889356,0.013455,0.0004849999999999993,0.38
0.4,0.23258828399999998,0.01345,0.0009099999999999994,0.38
0.4,0.237548792,0.013940000000000001,0.0009000000000000006,0.38
0.4,0.242347596,0.015075,0.0009549999999999993,0.38
0.4,0.24779797199999998,0.01596,0.0008499999999999992,0.38
0.4,0.252744212,0.016935,0.0009849999999999998,0.38
0.4,0.258056664,0.017439999999999997,0.0008199999999999995,0.38
0.4,0.262955344,0.017795,0.0009250000000000005,0.38
0.4,0.26795389999999997,0.01938,0.0011599999999999996,0.38
0.4,0.272862092,0.021445,0.001275,0.38
0.4,0.278307712,0.022255,0.0014850000000000002,0.38
0.4,0.28324444000000004,0.023565,0.0016749999999999994,0.38
